game_id,team_id,player_id,first_name,last_name,start,bat_order,pos,ab,r,h,rbi,so,bb,hbp,sac,sb,do,tr,hr
2,10,1092,Hank,Greenberg,1,4,3,6,1,0,0,1,0,0,0,0,0,0,0
2,10,1235,Hack,Wilson,1,5,10,6,2,2,3,0,0,0,0,0,0,0,1
2,10,1016,Yogi,Berra,1,6,2,5,0,1,0,1,1,0,0,0,0,0,0
2,10,1121,Joe,Kelley,1,7,7,5,1,2,1,0,1,0,0,0,0,2,0
2,10,1221,Bobby,Wallace,1,8,5,6,1,3,1,0,0,0,0,0,0,0,0
2,10,1200,Ozzie,Smith,1,9,6,5,0,0,0,0,0,0,0,0,0,0,0
2,16,1013,Cool Papa,Bell,1,1,8,4,0,0,0,1,0,0,2,0,0,0,0
2,16,1066,Hugh,Duffy,1,2,7,6,0,0,0,0,0,0,0,0,0,0,0
2,16,1157,Eddie,Murray,1,3,3,6,3,4,4,0,0,0,0,0,1,0,2
2,16,1233,Ted,Williams,1,4,10,5,0,0,0,1,1,0,0,0,0,0,0
2,16,1180,Frank,Robinson,1,5,9,5,1,2,0,1,0,1,0,0,0,0,0
2,16,1218,Arky,Vaughan,1,6,6,5,1,1,1,0,0,0,1,0,0,0,1
2,16,1195,Joe,Sewell,1,7,5,5,0,2,1,0,1,0,0,0,1,0,0
2,16,1089,Joe,Gordon,1,8,4,6,1,2,0,1,0,0,0,0,1,0,0
2,16,1034,Gary,Carter,1,9,2,6,1,2,1,0,0,0,0,0,1,0,0
3,28,1047,Roger,Connor,1,1,3,3,0,0,2,0,0,0,2,0,0,0,0
3,28,1051,Joe,Cronin,1,2,6,5,0,0,0,1,0,0,0,0,0,0,0
3,28,1140,Heinie,Manush,1,3,7,4,0,2,1,0,0,0,0,0,0,1,0
3,28,1001,Hank,Aaron,1,4,9,1,0,0,0,1,0,1,0,0,0,0,0
3,28,1153,Jose,Mendez,0,4,9,1,1,0,0,0,1,0,0,0,0,0,0
3,28,1170,Kirby,Puckett,1,5,8,4,0,1,0,0,0,0,0,0,0,0,0
3,28,1210,Ben,Taylor,1,6,10,3,0,2,0,0,1,0,0,0,0,0,0
3,28,1216,Pie,Traynor,1,7,5,4,0,1,1,1,0,0,0,0,0,0,0
3,28,1193,Red,Schoendienst,1,8,4,4,1,1,0,1,0,0,0,0,0,0,0
3,28,1074,Carlton,Fisk,1,9,2,4,2,2,0,0,0,0,0,0,0,1,0
3,7,1081,Frankie,Frisch,1,1,4,4,0,1,1,0,0,0,0,0,0,0,0
3,7,1198,Enos,Slaughter,1,2,9,3,0,0,0,0,1,0,0,0,0,0,0
3,7,1024,Dan,Brouthers,1,3,3,3,0,0,0,0,1,0,0,0,0,0,0
3,7,1204,Tris,Speaker,1,4,8,3,0,0,0,0,1,0,0,0,0,0,0
3,7,1061,Martin,Dihigo,1,5,6,4,0,0,0,1,0,0,0,0,0,0,0
3,7,1242,Robin,Yount,1,6,7,3,0,0,0,1,1,0,0,0,0,0,0
3,7,1125,Ralph,Kiner,1,7,10,3,0,0,0,0,0,0,0,0,0,0,0
3,7,1021,Roger,Bresnahan,1,8,2,3,0,0,0,0,0,0,0,0,0,0,0
3,7,1179,Brooks,Robinson,1,9,5,3,1,0,0,0,0,0,0,0,0,0,0
4,3,2021,Garret,Anderson,1,1,9,5,0,3,1,1,0,0,0,0,1,0,0
4,3,2030,Brad,Ausmus,1,2,2,4,0,0,0,0,1,0,0,0,0,0,0
4,3,2629,Scott,Rolen,1,3,5,5,1,1,1,1,0,0,0,0,0,0,1
4,3,2741,Bubba,Trammell,1,4,7,1,0,0,0,0,0,0,0,0,0,0,0
4,3,2539,David,Ortiz,0,4,10,3,0,0,0,1,1,0,0,0,0,0,0
4,3,2264,Shawn,Green,1,5,10,5,1,1,1,1,0,0,0,0,0,0,1
4,3,2114,Orlando,Cabrera,1,6,6,4,1,2,0,0,1,0,0,0,0,1,0
4,3,2226,Andy,Fox,1,7,4,4,0,0,1,2,1,0,0,0,0,0,0
4,3,2100,Adrian,Brown,1,8,8,3,0,1,0,0,2,0,0,0,0,0,0
4,3,2815,Kevin,Young,1,9,3,5,1,2,0,0,0,0,0,0,0,0,0
4,6,2779,Walt,Weiss,1,1,6,5,0,0,0,1,1,0,0,0,0,0,0
4,6,2276,Wilton,Guerrero,1,2,4,3,1,1,0,1,2,0,0,0,0,0,0
4,6,2110,Ellis,Burks,1,3,9,5,1,2,0,0,0,0,0,0,0,0,0
4,6,2177,Carlos,Delgado,1,4,3,5,0,0,0,1,0,0,0,0,0,0,0
4,6,2317,Bob,Higginson,1,5,10,5,0,1,1,2,0,0,0,0,0,0,0
4,6,2490,Raul,Mondesi,1,6,8,3,0,0,1,1,1,0,1,0,0,0,0
4,6,2715,B.J.,Surhoff,1,7,7,4,0,1,0,1,0,0,0,0,0,0,0
4,6,2154,Ron,Coomer,1,8,5,4,0,1,0,0,0,0,0,0,0,0,0
4,6,2408,Mike,Lieberthal,1,9,2,3,1,1,1,0,1,0,0,0,0,0,1
5,29,1032,Max,Carey,1,1,8,3,0,1,1,0,1,0,1,0,0,0,0
5,29,1095,Tony,Gwynn,1,2,9,5,0,1,0,3,0,0,0,0,0,0,0
5,29,1220,Honus,Wagner,1,3,6,5,0,1,0,2,0,0,0,0,0,0,0
5,29,1186,Babe,Ruth,1,4,1,3,1,0,0,0,2,0,0,0,0,0,0
5,29,1173,Jim,Rice,1,5,7,5,1,1,0,1,0,0,0,0,1,0,0
5,29,1149,Willie,McCovey,1,6,3,5,2,2,3,2,0,0,0,0,0,0,1
5,29,1014,Johnny,Bench,1,7,2,5,1,3,0,0,0,0,0,0,0,0,0
5,29,1068,Johnny,Evers,1,8,4,4,1,2,1,0,0,0,0,0,0,1,0
5,29,1214,Joe,Tinker,1,9,5,4,1,2,1,0,0,0,0,0,0,1,0
5,4,1003,Robbie,Alomar,1,1,4,4,1,1,1,0,0,0,0,0,0,0,1
5,4,1046,Earle,Combs,1,2,8,4,0,1,0,1,0,0,0,0,0,0,0
5,4,1211,Bill,Terry,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0
5,4,2234,Andres,Galarraga,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0
5,4,2624,Ivan,Rodriguez,1,4,2,3,0,0,0,1,1,0,0,0,0,0,0
5,4,1154,Johnny,Mize,1,5,10,2,1,0,0,0,2,0,0,0,0,0,0
5,4,1192,Mike,Schmidt,1,6,5,4,0,3,1,0,0,0,0,0,1,1,0
5,4,1050,Sam,Crawford,1,7,9,3,0,0,0,0,1,0,0,0,0,0,0
5,4,1111,Travis,Jackson,1,8,6,4,0,0,0,3,0,0,0,0,0,0,0
5,4,1109,Monte,Irvin,1,9,7,4,0,0,0,0,0,0,0,0,0,0,0
6,18,1130,Tony,Lazzeri,1,1,4,5,1,1,2,1,0,0,0,0,1,0,0
6,18,1224,Paul,Waner,1,2,9,5,1,3,1,0,0,0,0,0,2,0,0
6,18,1096,Chick,Hafey,1,3,7,3,0,0,0,0,0,1,0,0,0,0,0
6,18,2789,Rondell,White,0,3,7,1,0,0,0,1,0,0,0,0,0,0,0
6,18,1163,Mel,Ott,1,4,10,4,0,2,1,0,1,0,0,0,0,0,0
6,18,1035,Orlando,Cepeda,1,5,3,5,0,1,0,0,0,0,0,0,0,0,0
6,18,1135,Ernie,Lombardi,1,6,2,5,1,1,0,2,0,0,0,0,1,0,0
6,18,1120,George,Kell,1,7,5,3,0,1,0,1,0,0,1,0,0,0,0
6,18,1063,Larry,Doby,1,8,8,2,1,1,0,0,2,0,0,0,0,0,0
6,18,1011,Ernie,Banks,1,9,6,4,0,0,0,1,0,0,0,0,0,0,0
6,8,1174,Sam,Rice,1,1,9,2,0,0,1,1,1,0,1,0,0,0,0
6,8,1018,Wade,Boggs,1,2,5,4,0,0,0,0,0,0,0,0,0,0,0
6,8,1237,Dave,Winfield,1,3,7,4,0,0,0,1,0,0,0,0,0,0,0
6,8,1090,Goose,Goslin,1,4,10,3,0,1,0,0,1,0,0,0,0,0,0
6,8,1183,Edd,Roush,1,5,8,4,0,0,0,0,0,0,0,0,0,0,0
6,8,1122,George,Kelly,1,6,3,3,0,1,0,1,1,0,0,0,0,0,0
6,8,1079,Nellie,Fox,1,7,4,3,1,1,0,0,0,0,0,0,0,0,0
6,8,1030,Roy,Campanella,1,8,2,2,0,0,0,0,0,1,0,0,0,0,0
6,8,2777,Lenny,Webster,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0
6,8,1175,Cal,Ripken Jr.,1,9,6,2,0,1,0,0,1,0,0,0,0,0,0
7,30,2247,Doug,Glanville,1,1,8,6,1,3,3,1,0,0,0,0,0,0,1
7,30,2346,Gregg,Jefferies,1,2,10,4,1,1,1,1,2,0,0,0,0,0,0
7,30,2101,Brant,Brown,1,3,7,5,0,1,0,3,1,0,0,0,0,0,0
7,30,2750,John,Vander Wal,1,4,9,3,1,1,0,0,3,0,0,0,0,0,0
7,30,2017,Rich,Amaral,1,5,4,5,1,2,1,0,1,0,0,0,0,0,0
7,30,2464,Fred,McGriff,1,6,3,5,1,2,2,1,1,0,0,0,0,1,0
7,30,2145,Royce,Clayton,1,7,6,5,1,1,2,0,0,0,0,0,0,0,1
7,30,2009,Edgardo,Alfonzo,1,8,5,4,2,4,0,0,1,0,0,0,0,0,0
7,30,2309,Carlos,Hernandez,1,9,2,5,1,1,0,1,0,0,0,0,1,0,0
7,22,2814,Eric,Young,1,1,4,5,2,3,1,0,0,0,0,0,0,0,0
7,22,2786,Devon,White,1,2,8,5,1,1,0,0,0,0,0,0,1,0,0
7,22,2549,Dean,Palmer,1,3,5,5,3,3,5,1,0,0,0,0,0,0,2
7,22,2733,Jim,Thome,1,4,3,5,1,1,2,3,0,0,0,0,0,0,1
7,22,2328,Tyler,Houston,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
7,22,2166,Midre,Cummings,1,5,9,5,0,3,0,1,0,0,0,0,2,0,0
7,22,2002,Kurt,Abbott,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0
7,22,2459,Quinton,McCracken,1,6,7,4,0,1,0,0,0,0,0,0,0,0,0
7,22,2369,David,Justice,1,7,10,3,1,1,0,0,1,0,0,0,1,0,0
7,22,2689,Bill,Spiers,1,8,6,4,1,1,0,0,0,0,0,0,0,0,0
7,22,2707,Kelly,Stinnett,1,9,2,4,2,2,2,0,0,0,0,0,0,0,1
8,9,1055,George,Davis,1,1,6,5,1,1,2,1,0,0,0,0,0,0,1
8,9,1043,Mickey,Cochrane,1,2,2,3,2,2,0,0,2,0,0,0,0,1,0
8,9,1100,Harry,Heilmann,1,3,10,5,1,1,1,1,0,0,0,0,0,0,0
8,9,1215,Cristobal,Torriente,1,4,8,4,0,1,2,1,1,0,0,0,0,1,0
8,9,1152,Joe,Medwick,1,5,7,5,0,1,0,0,0,0,0,0,0,0,0
8,9,1181,Jackie,Robinson,1,6,4,4,0,2,0,1,1,0,0,2,0,0,0
8,9,1007,Richie,Ashburn,1,7,9,4,1,1,0,0,1,0,0,0,1,0,0
8,9,1155,Paul,Molitor,1,8,5,2,0,0,0,1,0,1,0,0,0,0,0
8,9,2035,Jeff,Bagwell,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0
8,9,1167,Tony,Perez,1,9,3,4,2,2,1,1,0,0,0,0,1,0,1
8,2,2417,Kenny,Lofton,1,1,8,4,0,1,0,0,0,0,0,0,0,0,0
8,2,2604,Edgar,Renteria,1,2,6,3,0,0,0,0,1,0,0,0,0,0,0
8,2,2592,Manny,Ramirez,1,3,9,4,0,3,1,0,0,0,0,0,0,0,0
8,2,2522,Troy,O’Leary,1,4,7,4,0,1,0,2,0,0,0,0,0,0,0
8,2,2590,Tim,Raines,1,5,10,4,0,0,0,1,0,0,0,0,0,0,0
8,2,2298,Charlie,Hayes,1,6,5,4,0,1,0,1,0,0,0,0,0,0,0
8,2,2232,Brad,Fullmer,1,7,3,4,0,1,0,0,0,0,0,0,0,0,0
8,2,2392,Mike,Lansing,1,8,4,4,0,0,0,1,0,0,0,0,0,0,0
8,2,2451,Sandy,Martinez,1,9,2,3,1,1,0,0,0,0,0,0,1,0,0
